Category,German,Article,English,FigureOfSpeech,ExamplesGerman,ExamplesEnglish
Numbers & Time,dreizehn,,thirteen,Numeral,Das kostet dreizehn Euro.; Dreizehn ist eine ungerade Zahl.; Heute ist der dreizehnte Tag im Monat.,That costs thirteen euros.; Thirteen is an odd number.; Today is the thirteenth day of the month.
Numbers & Time,vierzehn,,fourteen,numeral,Das kostet vierzehn Euro.; Ich habe vierzehn Äpfel gekauft.; Der Kurs dauert vierzehn Tage.,That costs fourteen euros.; I bought fourteen apples.; The course lasts fourteen days.
Numbers & Time,fünfzehn,,fifteen,numeral,Das kostet fünfzehn Euro.; Er ist fünfzehn Jahre alt.; Wir treffen uns in fünfzehn Minuten.,That costs fifteen euros.; He is fifteen years old.; We meet in fifteen minutes.
Numbers & Time,sechzehn,,sixteen,numeral,Das kostet sechzehn Euro.; Sie hat sechzehn Seiten im Bericht geschrieben.; Das Stadion fasst sechzehntausend Zuschauer.,That costs sixteen euros.; She wrote sixteen pages in the report.; The stadium holds sixteen thousand spectators.
Numbers & Time,siebzehn,,seventeen,numeral,Das kostet siebzehn Euro.; Er wird in siebzehn Tagen zurück sein.; Siebzehn Schüler haben die Prüfung bestanden.,That costs seventeen euros.; He will be back in seventeen days.; Seventeen students passed the exam.
Numbers & Time,achtzehn,,eighteen,numeral,Das kostet achtzehn Euro.; Sie ist achtzehn Jahre alt und darf wählen.; Das Buch hat achtzehn Kapitel.,That costs eighteen euros.; She is eighteen years old and allowed to vote.; The book has eighteen chapters.
Numbers & Time,neunzehn,,nineteen,numeral,Das kostet neunzehn Euro.; Neunzehn Schüler haben sich angemeldet.; Der Termin ist in neunzehn Tagen.,That costs nineteen euros.; Nineteen students have registered.; The appointment is in nineteen days.
Numbers & Time,zwanzig,,twenty,numeral,Das kostet zwanzig Euro.; Ich habe zwanzig Bücher gelesen.; Zwanzig Leute kamen zur Party.,That costs twenty euros.; I read twenty books.; Twenty people came to the party.
Numbers & Time,dreißig,,thirty,numeral,Das kostet dreißig Euro.; Er wird dreißig Jahre alt.; Die Reise dauert dreißig Minuten.,That costs thirty euros.; He is turning thirty years old.; The trip lasts thirty minutes.
Numbers & Time,vierzig,,forty,numeral,Das kostet vierzig Euro.; Sie ist vierzig Jahre alt.; Wir haben vierzig Sitzplätze im Saal.,That costs forty euros.; She is forty years old.; We have forty seats in the hall.
Numbers & Time,fünfzig,,fifty,numeral,Das kostet fünfzig Euro.; Der Bus fährt alle fünfzig Minuten.; Fünfzig Kilometer sind noch zu fahren.,That costs fifty euros.; The bus runs every fifty minutes.; There are fifty kilometers left to drive.
Numbers & Time,sechzig,,sixty,numeral,Das kostet sechzig Euro.; Er feiert seinen sechzigsten Geburtstag.; Die Veranstaltung dauert sechzig Minuten.,That costs sixty euros.; He is celebrating his sixtieth birthday.; The event lasts sixty minutes.
Numbers & Time,siebzig,,seventy,numeral,Das kostet siebzig Euro.; Sie ist siebzig Jahre alt.; Der Bus fährt alle siebzig Minuten.,That costs seventy euros.; She is seventy years old.; The bus runs every seventy minutes.
Numbers & Time,achtzig,,eighty,numeral,Das kostet achtzig Euro.; Er wurde achtzig Jahre alt.; Die Strecke ist achtzig Kilometer lang.,That costs eighty euros.; He turned eighty years old.; The route is eighty kilometers long.
Numbers & Time,neunzig,,ninety,numeral,Das kostet neunzig Euro.; Neunzig Prozent der Teilnehmer waren zufrieden.; Die Temperatur beträgt neunzig Grad Fahrenheit.,That costs ninety euros.; Ninety percent of the participants were satisfied.; The temperature is ninety degrees Fahrenheit.
Numbers & Time,hundert,,hundred,numeral,Das kostet hundert Euro.; Er hat hundert Briefe geschrieben.; Die Entfernung beträgt hundert Kilometer.,That costs hundred euros.; He wrote a hundred letters.; The distance is a hundred kilometers.
Numbers & Time,tausend,,thousand,numeral (cardinal number),Das kostet tausend Euro.; Er hat tausend Freunde auf der Social-Media-Plattform.; Tausend Menschen nahmen an der Demonstration teil.,That costs a thousand euros.; He has a thousand friends on the social media platform.; A thousand people took part in the demonstration.
Numbers & Time,die Uhr,die,o'clock / clock,noun (feminine),Es ist die Uhr Uhr.; Ich habe eine neue Uhr gekauft.; Die Uhr an der Wand zeigt die richtige Zeit an.,It is the o'clock o'clock.; I bought a new clock/watch.; The clock on the wall shows the correct time.
Numbers & Time,die Stunde,die,hour,noun (feminine),Es ist die Stunde Uhr.; Ich arbeite acht Stunden am Tag.; Die Stunde der Wahrheit ist gekommen.,It is the hour o'clock.; I work eight hours a day.; The hour of truth has come.
Numbers & Time,die Minute,die,minute,noun (feminine),Es ist die Minute Uhr.; Bitte warte eine Minute.; Die Minute vor dem Spiel war sehr spannend.,It is the minute o'clock.; Please wait a minute.; The minute before the game was very exciting.
Numbers & Time,die Sekunde,die,second,noun (feminine),Es ist die Sekunde Uhr.; Eine Sekunde kann entscheidend sein.; Ich habe nur noch wenige Sekunden Zeit.,It is the second o'clock.; One second can be crucial.; I only have a few seconds left.
Numbers & Time,heute,,today,adverb,Es ist heute Uhr.; Heute ist ein schöner Tag.; Heute habe ich viel zu tun.,It is today o'clock.; Today is a beautiful day.; Today I have a lot to do.
Numbers & Time,gestern,,yesterday,adverb,Es ist gestern Uhr.; Gestern war ich im Kino.; Gestern hat es den ganzen Tag geregnet.,It is yesterday o'clock.; Yesterday I was at the cinema.; Yesterday it rained all day.
Numbers & Time,morgen,,tomorrow,adverb / noun (masculine) depending on context,Es ist morgen Uhr.; Morgen werde ich meine Familie besuchen.; Der Morgen ist oft die schönste Zeit des Tages.,It is tomorrow o'clock.; Tomorrow I will visit my family.; The morning is often the most beautiful time of the day.
Numbers & Time,jetzt,,now,adverb,Es ist jetzt Uhr.; Ich muss jetzt gehen.; Jetzt ist der richtige Moment.,It is now o'clock.; I have to go now.; Now is the right moment.
Numbers & Time,früh,,early,adjective / adverb,Es ist früh Uhr.; Ich stehe früh auf.; Früh am Morgen ist es noch ruhig.,"It is early o'clock.; I get up early.; Early in the morning, it is still quiet."
Numbers & Time,spät,,late,adjective / adverb,"Es ist spät Uhr.; Ich komme heute spät nach Hause.; Es ist schon spät, wir sollten gehen.","It is late o'clock.; I am coming home late today.; It is already late, we should go."
Numbers & Time,pünktlich,,on time,adjective / adverb,Es ist pünktlich Uhr.; Der Zug ist pünktlich angekommen.; Sei bitte pünktlich zum Meeting.,It is on time o'clock.; The train arrived on time.; Please be on time for the meeting.
Numbers & Time,Montag,,Monday,noun (masculine),Es ist Montag Uhr.; Am Montag habe ich frei.; Montag ist der erste Tag der Arbeitswoche.,It is Monday o'clock.; I have a day off on Monday.; Monday is the first day of the work week.
Numbers & Time,Dienstag,,Tuesday,noun (masculine),Es ist Dienstag Uhr.; Am Dienstag habe ich einen Termin beim Arzt.; Dienstag ist mein Lieblingstag.,It is Tuesday o'clock.; I have a doctor's appointment on Tuesday.; Tuesday is my favorite day.
Numbers & Time,Mittwoch,,Wednesday,noun (masculine),Es ist Mittwoch Uhr.; Mittwoch ist die Mitte der Woche.; Am Mittwoch treffe ich meine Freunde.,It is Wednesday o'clock.; Wednesday is the middle of the week.; On Wednesday I meet my friends.
Numbers & Time,Donnerstag,der,Thursday,noun,Es ist Donnerstag Uhr.; Am Donnerstag haben wir ein Meeting.; Donnerstag ist mein Lieblingstag in der Woche.,"It is Thursday o'clock.; On Thursday, we have a meeting.; Thursday is my favorite day of the week."
Numbers & Time,Freitag,der,Friday,noun,Es ist Freitag Uhr.; Freitag ist der letzte Arbeitstag der Woche.; Am Freitag gehen wir ins Kino.,"It is Friday o'clock.; Friday is the last working day of the week.; On Friday, we are going to the cinema."
Numbers & Time,Samstag,der,Saturday,noun,Es ist Samstag Uhr.; Samstag ist ideal zum Entspannen.; Am Samstag besuche ich meine Freunde.,"It is Saturday o'clock.; Saturday is ideal for relaxing.; On Saturday, I visit my friends."
Numbers & Time,Sonntag,der,Sunday,noun,Es ist Sonntag Uhr.; Sonntag ist ein ruhiger Tag.; Am Sonntag machen wir einen Ausflug.,"It is Sunday o'clock.; Sunday is a quiet day.; On Sunday, we go on an excursion."
Numbers & Time,der Morgen,der,morning,noun,Es ist der Morgen Uhr.; Der Morgen ist die beste Zeit zum Joggen.; Ich trinke morgens immer Kaffee.,It is morning o'clock.; Morning is the best time for jogging.; I always drink coffee in the morning.
Numbers & Time,der Vormittag,der,morning (late),noun,Es ist der Vormittag Uhr.; Am Vormittag habe ich einen Termin.; Der Vormittag vergeht schnell.,It is late morning o'clock.; I have an appointment in the late morning.; The late morning passes quickly.
Numbers & Time,der Mittag,der,noon,noun,Es ist der Mittag Uhr.; Wir essen jeden Tag um der Mittag.; Der Mittag ist die Zeit für eine Pause.,It is noon o'clock.; We eat every day at noon.; Noon is the time for a break.
Numbers & Time,der Nachmittag,der,afternoon,noun,Es ist der Nachmittag Uhr.; Am Nachmittag gehe ich spazieren.; Der Nachmittag ist oft sehr produktiv.,"It is afternoon o'clock.; In the afternoon, I go for a walk.; The afternoon is often very productive."
Numbers & Time,der Abend,der,evening,noun,Es ist der Abend Uhr.; Am Abend lese ich gerne Bücher.; Der Abend ist die Zeit zum Entspannen.,"It is evening o'clock.; In the evening, I like to read books.; The evening is the time to relax."
Numbers & Time,die Nacht,die,night,noun,Es ist die Nacht Uhr.; In der Nacht ist es sehr ruhig.; Ich schlafe normalerweise gut in der Nacht.,"It is night o'clock.; At night, it is very quiet.; I usually sleep well at night."
Numbers & Time,Januar,der,January,noun,Es ist Januar Uhr.; Im Januar beginnt das neue Jahr.; Der Januar ist oft sehr kalt.,"It is January o'clock.; In January, the new year begins.; January is often very cold."
Numbers & Time,Februar,der,February,noun,Es ist Februar Uhr.; Der Februar hat nur 28 Tage.; Im Februar feiern wir Karneval.,It is February o'clock.; February has only 28 days.; We celebrate carnival in February.
Numbers & Time,März,der,March,noun,Es ist März Uhr.; Im März beginnt der Frühling.; Der März ist oft wechselhaft.,"It is March o'clock.; In March, spring begins.; March is often changeable."
Numbers & Time,April,der,April,noun,"Es ist April Uhr.; Im April regnet es oft.; April macht, was er will.","It is April o'clock.; In April, it often rains.; April does what it wants."
Numbers & Time,Mai,der,May,noun,Es ist Mai Uhr.; Im Mai blühen die Blumen.; Der Mai ist ein schöner Monat.,"It is May o'clock.; In May, the flowers bloom.; May is a beautiful month."
Numbers & Time,Juni,,June,noun,Es ist Juni Uhr.; Im Juni beginnt der Sommer.; Der Juni ist mein Lieblingsmonat.,It is June o'clock.; Summer begins in June.; June is my favorite month.
Numbers & Time,Juli,,July,noun,Es ist Juli Uhr.; Im Juli fahren wir in den Urlaub.; Der Juli ist oft sehr heiß.,"It is July o'clock.; In July, we go on vacation.; July is often very hot."
Numbers & Time,August,,August,noun,Es ist August Uhr.; Im August feiern wir ein Fest.; Der August ist der letzte Sommermonat.,"It is August o'clock.; In August, we celebrate a festival.; August is the last summer month."
Numbers & Time,September,,September,noun,Es ist September Uhr.; Im September beginnt der Herbst.; Der September ist oft regnerisch.,It is September o'clock.; Autumn begins in September.; September is often rainy.
Numbers & Time,Oktober,,October,noun,Es ist Oktober Uhr.; Im Oktober findet das Oktoberfest statt.; Der Oktober ist kühl und windig.,It is October o'clock.; The Oktoberfest takes place in October.; October is cool and windy.
Numbers & Time,November,,November,noun,Es ist November Uhr.; Im November wird es früh dunkel.; Der November ist oft neblig.,It is November o'clock.; It gets dark early in November.; November is often foggy.
Numbers & Time,Dezember,,December,noun,Es ist Dezember Uhr.; Im Dezember feiern wir Weihnachten.; Der Dezember ist kalt und winterlich.,It is December o'clock.; We celebrate Christmas in December.; December is cold and wintry.
Days & Weather,das Wetter,das,weather,noun,Heute ist das Wetter.; Das Wetter ist heute sehr schön.; Ich mag das wechselhafte Wetter im Frühling.,Today is the weather.; The weather is very nice today.; I like the changeable weather in spring.
Days & Weather,die Sonne,die,sun,noun,"Heute ist die Sonne.; Die Sonne scheint den ganzen Tag.; Ich liebe es, wenn die Sonne scheint.",Today is the sun.; The sun is shining all day.; I love it when the sun shines.
Days & Weather,der Regen,der,rain,noun,Heute ist der Regen.; Der Regen fällt den ganzen Nachmittag.; Nach dem Regen scheint wieder die Sonne.,"Today is the rain.; The rain is falling all afternoon.; After the rain, the sun shines again."
Days & Weather,der Wind,der,wind,noun,Heute ist der Wind.; Der Wind weht stark vom Meer.; Im Herbst ist der Wind oft kalt.,"Today is the wind.; The wind blows strongly from the sea.; In autumn, the wind is often cold."
Days & Weather,der Schnee,der,snow,noun,Heute ist der Schnee.; Der Schnee bedeckt die Berge.; Im Winter fällt viel Schnee.,Today is the snow.; The snow covers the mountains.; A lot of snow falls in winter.
Days & Weather,die Wolke,die,cloud,noun,Heute ist die Wolke.; Die Wolken verdecken die Sonne.; Am Himmel sind viele Wolken.,Today is the cloud.; The clouds hide the sun.; There are many clouds in the sky.
Days & Weather,heiß,,hot,adjective,Heute ist heiß.; Im Sommer ist es oft sehr heiß.; Das Wasser im Pool ist heiß.,Today is hot.; It is often very hot in summer.; The water in the pool is hot.
Days & Weather,kalt,,cold,adjective,Heute ist kalt.; Im Winter ist es meistens kalt.; Das kalte Wetter macht mich müde.,Today is cold.; It is usually cold in winter.; The cold weather makes me tired.
Days & Weather,warm,,warm,adjective,Heute ist warm.; Das Wasser im See ist heute sehr warm.; Ich trage heute ein warmes Hemd.,Today is warm.; The water in the lake is very warm today.; I am wearing a warm shirt today.
Days & Weather,kühl,,cool,adjective,Heute ist kühl.; Am Abend wird es kühl.; Ich mag kühlere Temperaturen im Herbst.,Today is cool.; It gets cool in the evening.; I like cooler temperatures in autumn.
Days & Weather,trocken,,dry,adjective,Heute ist trocken.; Der Sommer war dieses Jahr sehr trocken.; Nach der Regenpause ist die Straße wieder trocken.,"Today is dry.; The summer was very dry this year.; After the rain break, the street is dry again."
Days & Weather,nass,,wet,adjective,Heute ist nass.; Nach dem Regen sind meine Schuhe nass.; Der Boden ist nach dem Tau nass.,"Today is wet.; After the rain, my shoes are wet.; The ground is wet after the dew."
Days & Weather,der Frühling,der,spring,noun,Heute ist der Frühling.; Im Frühling blühen die Blumen.; Der Frühling ist meine Lieblingsjahreszeit.,"Today is spring.; In spring, the flowers bloom.; Spring is my favorite season."
Days & Weather,der Sommer,der,summer,noun,Heute ist der Sommer.; Im Sommer fahren wir ans Meer.; Der Sommer ist oft sehr heiß.,"Today is summer.; In summer, we go to the sea.; Summer is often very hot."
Days & Weather,der Herbst,der,autumn,noun,Heute ist der Herbst.; Im Herbst fallen die Blätter von den Bäumen.; Der Herbst ist bekannt für sein buntes Laub.,"Today is autumn.; In autumn, the leaves fall from the trees.; Autumn is known for its colorful foliage."
Days & Weather,der Winter,der,winter,noun,Heute ist der Winter.; Im Winter liegt oft Schnee.; Der Winter ist die kälteste Jahreszeit.,"Today is winter.; In winter, there is often snow.; Winter is the coldest season."
Days & Weather,grad,,degree,noun,Heute ist grad.; Es sind 20 Grad Celsius draußen.; Die Temperatur steigt um fünf Grad.,Today is degree.; It is 20 degrees Celsius outside.; The temperature rises by five degrees.
Days & Weather,das Gewitter,das,thunderstorm,noun,Heute ist das Gewitter.; Ein starkes Gewitter zieht auf.; Das Gewitter hat die ganze Nacht gedauert.,Today is the thunderstorm.; A strong thunderstorm is approaching.; The thunderstorm lasted all night.
Days & Weather,das Eis,das,ice,noun,Heute ist das Eis.; Das Eis auf dem See ist dick genug zum Schlittschuhlaufen.; Ich esse gerne Eis im Sommer.,Today is the ice.; The ice on the lake is thick enough for ice skating.; I like eating ice cream in summer.
Days & Weather,die Temperatur,die,temperature,noun,Heute ist die Temperatur.; Die Temperatur sinkt nachts schnell ab.; Die Temperatur erreicht heute 25 Grad.,Today is the temperature.; The temperature drops quickly at night.; The temperature reaches 25 degrees today.
Days & Weather,das Klima,das,climate,noun,Heute ist das Klima.; Das Klima in den Tropen ist heiß und feucht.; Das Klima hat sich in den letzten Jahren verändert.,Today is the climate.; The climate in the tropics is hot and humid.; The climate has changed in recent years.
Travel & Transport,das Auto,das,car,noun,Ich nehme das Auto.; Das Auto steht vor dem Haus.; Wir fahren mit dem Auto in den Urlaub.,I take the car.; The car is in front of the house.; We are going on vacation by car.
Travel & Transport,der Zug,der,train,noun,Ich nehme der Zug.; Der Zug fährt um 9 Uhr ab.; Ich kaufe eine Fahrkarte für den Zug.,I take the train.; The train leaves at 9 o'clock.; I buy a ticket for the train.
Travel & Transport,der Bus,der,bus,noun,Ich nehme den Bus.; Der Bus kommt in fünf Minuten.; Wir warten an der Bushaltestelle auf den Bus.,I take the bus.; The bus arrives in five minutes.; We are waiting at the bus stop for the bus.
Travel & Transport,die Straßenbahn,die,tram,noun,Ich nehme die Straßenbahn.; Die Straßenbahn ist pünktlich angekommen.; Wir fahren mit der Straßenbahn zum Zentrum.,I take the tram.; The tram arrived on time.; We are going to the city center by tram.
Travel & Transport,das Fahrrad,das,bicycle,noun,Ich nehme das Fahrrad.; Das Fahrrad ist sehr schnell.; Er repariert sein Fahrrad im Keller.,I take the bicycle.; The bicycle is very fast.; He is repairing his bicycle in the basement.
Travel & Transport,das Flugzeug,das,airplane,noun,Ich nehme das Flugzeug.; Das Flugzeug landet bald.; Wir fliegen morgen mit dem Flugzeug nach Berlin.,I take the airplane.; The airplane is landing soon.; We are flying to Berlin by airplane tomorrow.
Travel & Transport,der Flughafen,der,airport,noun,Ich fahre zum Flughafen.; Der Flughafen ist sehr groß.; Wir treffen uns am Flughafen.,I am going to the airport.; The airport is very large.; We meet at the airport.
Travel & Transport,der Bahnhof,der,train station,noun,Ich gehe zum Bahnhof.; Der Bahnhof ist in der Innenstadt.; Der Zug hält am Bahnhof an.,I am going to the train station.; The train station is downtown.; The train stops at the train station.
Travel & Transport,die Haltestelle,die,stop (bus/tram),noun,Ich warte an der Haltestelle.; Die Haltestelle ist nur wenige Meter entfernt.; Bitte steigen Sie an der nächsten Haltestelle aus.,I am waiting at the stop.; The stop is only a few meters away.; Please get off at the next stop.
Travel & Transport,die Fahrkarte,die,ticket,noun,Ich kaufe eine Fahrkarte.; Die Fahrkarte kostet zehn Euro.; Bitte zeigen Sie Ihre Fahrkarte vor.,I buy a ticket.; The ticket costs ten euros.; Please show your ticket.
Travel & Transport,das Ticket,das,ticket,noun,Ich nehme das Ticket.; Das Ticket ist für den Zug gültig.; Hast du dein Ticket dabei?,I take the ticket.; The ticket is valid for the train.; Do you have your ticket with you?
Travel & Transport,der Fahrplan,der,timetable,noun,Ich schaue den Fahrplan an.; Der Fahrplan zeigt die Abfahrtszeiten.; Der Fahrplan ist online verfügbar.,I look at the timetable.; The timetable shows the departure times.; The timetable is available online.
Travel & Transport,abfahren,,to depart,verb,Wir müssen abfahren.; Der Zug fährt um 9 Uhr ab.; Bitte pünktlich abfahren.,We have to depart.; The train departs at 9 o'clock.; Please depart on time.
Travel & Transport,ankommen,,to arrive,verb,Wir müssen ankommen.; Der Zug kommt um 10 Uhr an.; Wann wirst du ankommen?,We have to arrive.; The train arrives at 10 o'clock.; When will you arrive?
Travel & Transport,einsteigen,,to get in,verb,"Wir müssen einsteigen.; Bitte einsteigen, die Türen schließen.; Sie sind eingeladen, in den Bus einzusteigen.","We have to get in.; Please get in, the doors are closing.; You are invited to get on the bus."
Travel & Transport,aussteigen,,to get out,verb,Wir müssen aussteigen.; Bitte rechtzeitig aussteigen.; Er ist an der letzten Haltestelle ausgestiegen.,We have to get out.; Please get out in time.; He got out at the last stop.
Travel & Transport,umsteigen,,to change (trains),verb,Wir müssen umsteigen.; Am Hauptbahnhof müssen wir umsteigen.; Du musst in Frankfurt umsteigen.,We have to change (trains).; We have to change at the main train station.; You have to change in Frankfurt.
Travel & Transport,fahren,,to drive/ride,verb,Wir müssen fahren.; Ich fahre morgen mit dem Zug nach Berlin.; Kannst du heute Abend fahren?,We have to drive/ride.; I am taking the train to Berlin tomorrow.; Can you drive tonight?
Travel & Transport,fliegen,,to fly,verb,Wir müssen fliegen.; Morgen fliege ich nach New York.; Die Vögel fliegen hoch am Himmel.,We have to fly.; Tomorrow I am flying to New York.; The birds are flying high in the sky.
Travel & Transport,laufen,,to walk/run,verb,Wir müssen laufen.; Ich laufe jeden Morgen im Park.; Er läuft sehr schnell.,We have to walk/run.; I run every morning in the park.; He runs very fast.
Travel & Transport,die Richtung,die,direction,noun,Ich nehme die Richtung.; In welche Richtung müssen wir gehen?; Er zeigte uns die richtige Richtung.,I take the direction.; In which direction do we have to go?; He showed us the correct direction.
Travel & Transport,rechts,,right,adverb,Wir müssen rechts.; Biegen Sie rechts ab.; Das Geschäft ist gleich rechts.,We have to go right.; Turn right.; The store is immediately on the right.
Travel & Transport,links,,left,adverb,Wir müssen links.; Nehmen Sie die erste Straße links.; Das Café ist links um die Ecke.,We have to go left.; Take the first street on the left.; The café is around the corner on the left.
Travel & Transport,geradeaus,,straight ahead,adverb,Wir müssen geradeaus.; Gehen Sie geradeaus bis zur Ampel.; Das Museum liegt geradeaus.,We have to go straight ahead.; Go straight ahead until the traffic light.; The museum is straight ahead.
Travel & Transport,zurück,,back,adverb,"Wir müssen zurück.; Geh zurück zum Haus.; Sie kam zurück, um ihre Tasche zu holen.",We have to go back.; Go back to the house.; She came back to get her bag.
Travel & Transport,der Weg,der,way,noun,Ich nehme der Weg.; Der Weg zum Bahnhof ist lang.; Wir haben den richtigen Weg gefunden.,I take the way.; The way to the train station is long.; We found the right way.
Travel & Transport,die Straße,die,street,noun,Ich nehme die Straße.; Die Straße ist sehr breit.; Er wohnt in einer ruhigen Straße.,I take the street.; The street is very wide.; He lives on a quiet street.
Travel & Transport,die Kreuzung,die,crossroad,noun,Ich nehme die Kreuzung.; An der Kreuzung musst du links abbiegen.; Die Kreuzung ist sehr verkehrsreich.,"I take the crossroad.; At the crossroad, you have to turn left.; The crossroad is very busy."
Travel & Transport,die Ampel,die,traffic light,noun,"Ich nehme die Ampel.; Warte an der Ampel, bis sie grün wird.; Die Ampel steht an der Ecke.",I take the traffic light.; Wait at the traffic light until it turns green.; The traffic light is at the corner.
Travel & Transport,die Brücke,die,bridge,noun,Ich nehme die Brücke.; Die Brücke verbindet die beiden Städte.; Wir gehen über die Brücke.,I take the bridge.; The bridge connects the two cities.; We walk over the bridge.
Travel & Transport,der Verkehr,der,traffic,noun,Ich nehme der Verkehr.; Der Verkehr ist heute sehr stark.; Im Stadtzentrum gibt es viel Verkehr.,I take the traffic.; The traffic is very heavy today.; There is a lot of traffic in the city center.
Travel & Transport,die Reise,die,trip,noun,Ich nehme die Reise.; Unsere Reise nach Italien war wunderschön.; Die Reise dauert drei Stunden.,I take the trip.; Our trip to Italy was wonderful.; The trip takes three hours.
Travel & Transport,das Gepäck,das,luggage,noun,Ich nehme das Gepäck.; Das Gepäck ist schwer.; Wo kann ich mein Gepäck abstellen?,I take the luggage.; The luggage is heavy.; Where can I put down my luggage?
Travel & Transport,der Koffer,der,suitcase,noun,Ich nehme der Koffer.; Der Koffer ist blau.; Hast du deinen Koffer gepackt?,I take the suitcase.; The suitcase is blue.; Have you packed your suitcase?
Travel & Transport,die Tasche,die,bag,noun,Ich nehme die Tasche.; Die Tasche ist sehr leicht.; Könntest du mir bitte die Tasche reichen?,I take the bag.; The bag is very light.; Could you please hand me the bag?
Travel & Transport,der Pass,der,passport,noun,Ich nehme der Pass.; Der Pass liegt auf dem Tisch.; Bitte zeigen Sie Ihren Pass am Schalter.,I take the passport.; The passport is on the table.; Please show your passport at the counter.
Travel & Transport,die Verspätung,die,delay,noun,Ich nehme die Verspätung.; Die Verspätung beträgt 30 Minuten.; Wegen der Verspätung haben wir den Anschlusszug verpasst.,"I take the delay.; The delay is 30 minutes.; Because of the delay, we missed the connecting train."
Verbs (basic),sein,,to be,verb,Ich möchte sein.; Er will Arzt sein.; Wir sind glücklich.,I would like to be.; He wants to be a doctor.; We are happy.
Verbs (basic),haben,,to have,verb,Ich möchte haben.; Sie hat viele Bücher.; Wir haben keine Zeit.,I would like to have.; She has many books.; We have no time.
Verbs (basic),werden,,to become,verb,Ich möchte werden.; Er wird Arzt.; Das Wetter wird besser.,I would like to become.; He is becoming a doctor.; The weather is getting better.
Verbs (basic),machen,,to make/do,verb,Ich möchte machen.; Wir machen eine Pause.; Kannst du das für mich machen?,I would like to do/make.; We are taking a break.; Can you do that for me?
Verbs (basic),gehen,,to go,verb,Ich möchte gehen.; Wir gehen morgen ins Kino.; Sie geht jeden Tag spazieren.,I would like to go.; We are going to the cinema tomorrow.; She goes for a walk every day.
Verbs (basic),kommen,,to come,verb,Ich möchte kommen.; Kommst du heute Abend?; Sie kommen aus Deutschland.,I would like to come.; Are you coming tonight?; They come from Germany.
Verbs (basic),sehen,,to see,verb,Ich möchte sehen.; Ich sehe den Sonnenuntergang.; Kannst du das Bild sehen?,I would like to see.; I see the sunset.; Can you see the picture?
Verbs (basic),geben,,to give,verb,Ich möchte geben.; Sie gibt ihm ein Geschenk.; Kannst du mir das Buch geben?,I would like to give.; She gives him a present.; Can you give me the book?
Verbs (basic),nehmen,,to take,verb,Ich möchte nehmen.; Nimmst du den Bus zur Arbeit?; Wir nehmen den Zug um 8 Uhr.,I would like to take.; Do you take the bus to work?; We take the train at 8 o'clock.
Verbs (basic),finden,,to find,verb,Ich möchte finden.; Ich finde meinen Schlüssel nicht.; Findest du den Film gut?,I would like to find.; I can't find my key.; Do you find the movie good?
Verbs (basic),denken,,to think,verb,Ich möchte denken.; Er denkt oft über die Zukunft nach.; Wir müssen über das Problem nachdenken.,I would like to think.; He often thinks about the future.; We have to think about the problem.
Verbs (basic),wissen,,to know,verb,"Ich möchte wissen.; Weißt du, wo das Buch ist?; Sie wissen viel über Geschichte.",I would like to know.; Do you know where the book is?; They know a lot about history.
Verbs (basic),sagen,,to say,verb,Ich möchte sagen.; Er sagt immer die Wahrheit.; Kannst du mir bitte etwas sagen?,I would like to say.; He always tells the truth.; Can you please say something to me?
Verbs (basic),sprechen,,to speak,verb,Ich möchte sprechen.; Sie spricht drei Sprachen fließend.; Wir sprechen morgen über das Projekt.,I would like to speak.; She speaks three languages fluently.; We will speak about the project tomorrow.
Verbs (basic),fragen,,to ask,verb,Ich möchte fragen.; Darf ich dich etwas fragen?; Er fragt immer viele Fragen.,I would like to ask.; May I ask you something?; He always asks many questions.
Verbs (basic),antworten,,to answer,verb,Ich möchte antworten.; Bitte antworte mir so schnell wie möglich.; Sie antwortet auf alle E-Mails.,I would like to answer.; Please answer me as soon as possible.; She answers all emails.
Verbs (basic),arbeiten,,to work,verb,Ich möchte arbeiten.; Er arbeitet jeden Tag von neun bis fünf.; Wir arbeiten an einem neuen Projekt.,I would like to work.; He works every day from nine to five.; We are working on a new project.
Verbs (basic),lernen,,to learn,verb,Ich möchte lernen.; Sie lernt gerade Deutsch.; Wir lernen jeden Tag etwas Neues.,I would like to learn.; She is currently learning German.; We learn something new every day.
Verbs (basic),verstehen,,to understand,verb,Ich möchte verstehen.; Ich verstehe die Aufgabe nicht.; Er versteht sehr schnell.,I would like to understand.; I do not understand the task.; He understands very quickly.
Verbs (basic),brauchen,,to need,verb,Ich möchte brauchen.; Wir brauchen mehr Zeit.; Sie braucht Hilfe bei den Hausaufgaben.,I would like to need.; We need more time.; She needs help with the homework.
Verbs (basic),mögen,,to like,verb,Ich möchte mögen.; Ich mag Schokolade sehr gern.; Magst du diesen Film?,I would like to like.; I like chocolate very much.; Do you like this movie?
Verbs (basic),lieben,,to love,verb,Ich möchte lieben.; Sie liebt ihren Hund sehr.; Wir lieben den Sommer.,I would like to love.; She loves her dog very much.; We love the summer.
Verbs (basic),spielen,,to play,verb,Ich möchte spielen.; Die Kinder spielen im Park.; Er spielt gern Fußball.,I would like to play.; The children are playing in the park.; He likes to play soccer.
